text	label	original_label
is too long with too little going on 	negative	negative
much needed 	positive	positive
jones and snipes are enthralling 	positive	positive
that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out 	positive	positive
participation 	positive	positive
you can smell the grease on the plot 	negative	negative
such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us `` the skulls '' and 	positive	positive
human impulses that grew hideously twisted 	negative	negative
still fun and enjoyable 	positive	positive
this is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged 	negative	negative
a completely spooky piece of business that gets under your skin and , some plot blips aside , 	positive	positive
often overwritten 	negative	negative
to please audiences who like movies that demand four hankies 	positive	positive
nearly impossible 	negative	negative
down-to-earth bullock 	positive	positive
is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism . 	positive	positive
proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film 	positive	positive
one-hour mark 	positive	positive
the first bond movie in ages that is n't fake fun 	positive	positive
not constant bloodshed 	positive	positive
offers no new insight on the matter 	negative	negative
you can take the grandkids or the grandparents and never worry about anyone being bored 	positive	positive
overwhelmingly 	positive	positive
spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick 	positive	positive
tastelessness and gall 	negative	negative
bad action-movie line 	negative	negative
grows 	positive	positive
as it does because ( the leads ) are such a companionable couple 	positive	positive
contrived , unmotivated , and psychologically unpersuasive 	negative	negative
the film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-oscar kind of way 	negative	negative
any true emotional connection or identification frustratingly 	negative	negative
caliber 	positive	positive
balanced film 	positive	positive
of run-of-the-mill profanity 	negative	negative
feel like three hours . 	negative	negative
excites the imagination and tickles the funny bone 	positive	positive
is built on a potentially interesting idea 	positive	positive
is confusing on one level or another , making ararat far more demanding than it needs to be 	negative	negative
laughably 	negative	negative
been kind enough to share it 	positive	positive
of bland hotels , highways , parking lots 	negative	negative
with a large dose of painkillers 	negative	negative
liked a lot of the smaller scenes 	positive	positive
wastes 	negative	negative
continues to cut a swathe through mainstream hollywood , while retaining an integrity and refusing to compromise his vision . 	positive	positive
, mind-numbingly , indescribably bad 	negative	negative
there 's real visual charge to the filmmaking , 	positive	positive
a river of sadness that pours into every frame 	positive	positive
menacing 	negative	negative
incessantly 	negative	negative
bears about as much resemblance to the experiences of most battered women as spider-man does to the experiences of most teenagers . 	negative	negative
that you 've spent the past 20 minutes looking at your watch 	negative	negative
at existing photos 	positive	positive
helmer hudlin tries to make a hip comedy , 	negative	negative
as funny nor 	negative	negative
gangs excels in spectacle and pacing . 	positive	positive
we want the funk - and this movie 's got it 	positive	positive
creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries . 	positive	positive
devos and cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable . 	positive	positive
lacks balance 	negative	negative
hard pressed to succumb to the call of the wild 	negative	negative
revelatory nor truly edgy -- merely crassly flamboyant and comedically labored . 	negative	negative
tv 	positive	positive
an entertaining british hybrid of comedy , caper thrills and quirky romance . 	positive	positive
demonstrating vividly 	positive	positive
it 's sweet and fluffy at the time , 	positive	positive
marks an encouraging new direction for la salle . 	positive	positive
a powerful , inflammatory film 	positive	positive
favor of tradition and warmth 	positive	positive
begins on a high note and 	positive	positive
has much to recommend it 	positive	positive
a vibrant , colorful , semimusical rendition 	positive	positive
a simple tale 	positive	positive
despicable characters 	negative	negative
` it 's like having an old friend for dinner ' . 	positive	positive
, director chris columbus takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours . 	negative	negative
this amiable picture 	positive	positive
that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions 	positive	positive
a markedly inactive film 	negative	negative
saves this deeply affecting film 	positive	positive
cold , nervy and memorable 	positive	positive
exercise in sham actor workshops and an affected malaise 	negative	negative
the gratuitous cinematic distractions 	negative	negative
manages to nail the spirit-crushing ennui of denuded urban living without giving in to it . 	positive	positive
the interviews that follow , with the practitioners of this ancient indian practice , are as subtle and as enigmatic 	positive	positive
insanely hilarious 	positive	positive
does n't work because there is no foundation for it 	negative	negative
surprise us 	positive	positive
relative modesty 	positive	positive
coppola , along with his sister , sofia , is a real filmmaker 	positive	positive
remove spider-man the movie from its red herring surroundings and it 's apparent that this is one summer film that satisfies . 	positive	positive
, if good-hearted , movie . 	positive	positive
makes even elizabeth hurley seem graceless and ugly . 	negative	negative
inhale this gutter romancer 's secondhand material 	negative	negative
no pastry is violated 	positive	positive
is very difficult 	negative	negative
i 'll buy the soundtrack . 	positive	positive
hardly an objective documentary , but it 's great cinematic polemic 	positive	positive
is virtually without context -- journalistic or historical 	negative	negative
to the genre and another first-rate performance 	positive	positive
an adventurous young talent 	positive	positive
predictable in the reassuring manner of a beautifully sung holiday carol 	positive	positive
intricate plot 	positive	positive
, this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian . 	negative	negative
to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product 	negative	negative
will strike some westerners as verging on mumbo-jumbo 	negative	negative
as i laughed throughout the movie 	positive	positive
impossibly contrived situations 	negative	negative
fails to fulfill its own ambitious goals 	negative	negative
a moral tale with a twisted sense of humor 	positive	positive
is the best ` old neighborhood ' project 	positive	positive
others will find their humor-seeking dollars best spent elsewhere . 	negative	negative
make italian for beginners worth the journey 	positive	positive
most good-hearted 	positive	positive
a chilling tale of one of the great crimes of 20th century france 	positive	positive
a competent , unpretentious entertainment destined to fill the after-school slot at shopping mall theaters across the country . 	positive	positive
poignant and funny 	positive	positive
thanks to a small star with big heart 	positive	positive
impersonal and abstract 	negative	negative
it 's a glorious spectacle like those d.w. griffith made in the early days of silent film . 	positive	positive
-- the real issues tucked between the silly and crude storyline 	negative	negative
if you 're a fan of the series you 'll love it and probably want to see it twice . 	positive	positive
it misses a major opportunity to be truly revelatory about his psyche . 	negative	negative
the nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations . 	negative	negative
too many chefs fussing over too weak a recipe 	negative	negative
accents so good 	positive	positive
a classy , sprightly spin on film 	positive	positive
an original 	positive	positive
a thing that already knows it 's won 	positive	positive
as punching bags 	positive	positive
nothing to sneeze at these days 	positive	positive
ms. paltrow employs to authenticate her british persona 	negative	negative
good-natured 	positive	positive
star to play second fiddle to the dull effects that allow the suit to come to life 	negative	negative
's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen 	positive	positive
brought to life on the big screen 	positive	positive
an entertaining movie 	positive	positive
is a very funny , heartwarming film . 	positive	positive
more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks 	negative	negative
encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed . 	negative	negative
that gets under your skin 	positive	positive
be half as entertaining as it is 	positive	positive
turn out to be a bit of a cheat in the end 	negative	negative
a rote exercise in both animation and storytelling . 	negative	negative
a rollicking adventure for you 	positive	positive
that even its target audience talked all the way through it 	negative	negative
prickly indie comedy 	negative	negative
halfway through this picture i was beginning to hate it , and , of course 	negative	negative
ethics 	positive	positive
that rare animal known as ' a perfect family film 	positive	positive
other feel-good fiascos like antwone fisher or the emperor 's club any time 	positive	positive
and crude film 	negative	negative
could n't find stardom if mapquest emailed him point-to-point driving directions . 	negative	negative
with real world events 	positive	positive
it is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound . 	negative	negative
mcgrath has deftly trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness . 	positive	positive
sanctimonious , self-righteous and 	negative	negative
it 's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas 	positive	positive
acceptable , occasionally very enjoyable 	positive	positive
one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original 	negative	negative
the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids . 	positive	positive
is why anybody picked it up . 	negative	negative
vibrantly colored and beautifully designed , metropolis is a feast for the eyes . 	positive	positive
like some sort of martha stewart decorating program run amok 	negative	negative
seems to have been ` it 's just a kids ' flick 	negative	negative
that takes itself all too seriously 	negative	negative
with a deft sense of humor about itself , a playful spirit and a game cast 	positive	positive
has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in your own cleverness as you figure it out . 	positive	positive
even slightly wised-up kids would quickly change the channel 	negative	negative
through their consistently sensitive and often exciting treatment of an ignored people 	positive	positive
the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came . 	positive	positive
's remarkable procession of sweeping pictures that have reinvigorated the romance genre 	positive	positive
the piano teacher is not an easy film . 	negative	negative
manages the rare trick of seeming at once both refreshingly different and reassuringly familiar 	positive	positive
daft by half ... but supremely good natured 	positive	positive
much power 	positive	positive
of carnage 	negative	negative
this picture 	positive	positive
increasingly diverse french director 	positive	positive
muddled , simplistic and more than a little pretentious 	negative	negative
features nonsensical and laughable plotting 	negative	negative
served by the movie 's sophomoric blend of shenanigans and slapstick 	negative	negative
's plenty to offend everyone 	negative	negative
reduces the complexities to bromides and slogans 	negative	negative
save their children 	positive	positive
that 's old-fashioned in all the best possible ways 	positive	positive
surprisingly touching 	positive	positive
come along that turns me into that annoying specimen of humanity that i usually dread encountering the most - the fanboy 	positive	positive
worked five years ago but has since lost its fizz 	negative	negative
's one of the worst of the entire franchise . 	negative	negative
, the rest of us will be lulled into a coma . 	negative	negative
an obvious rapport with her actors 	positive	positive
a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone . 	negative	negative
existential exploration 	positive	positive
road movie , coming-of-age story and political satire 	positive	positive
commercialism all in the same movie ... without neglecting character development for even one minute 	positive	positive
may not be cutting-edge indie filmmaking 	negative	negative
inspire anything more than a visit to mcdonald 's , let alone 	negative	negative
both shrill and soporific , and because everything 	negative	negative
sinister 	negative	negative
than a modem that disconnects every 10 seconds 	negative	negative
aground 	negative	negative
amazing 	positive	positive
have an opportunity to triumphantly sermonize 	positive	positive
for that comes through all too painfully in the execution 	negative	negative
open-ended questions 	positive	positive
like brosnan 's performance 	positive	positive
counting a few gross-out comedies i 've been trying to forget 	negative	negative
sense is a movie that deserves recommendation 	positive	positive
the road 	positive	positive
phrase ` life affirming ' 	positive	positive
an airless , prepackaged julia roberts wannabe 	negative	negative
little more than a well-mounted history lesson . 	negative	negative
to the film 's music 	positive	positive
and dog lovers 	positive	positive
moving tale 	positive	positive
no surprises 	negative	negative
crawls along 	negative	negative
sure mainstream audiences will be baffled 	negative	negative
begins to resemble the shapeless , grasping actors ' workshop that it is . 	negative	negative
oddly humorous to tediously sentimental 	positive	positive
grabs you in the dark and shakes you vigorously for its duration . 	positive	positive
lonely 	negative	negative
it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent 	positive	positive
there is a certain sense of experimentation and improvisation to this film that may not always work , but 	negative	negative
has been 	positive	positive
, cry and realize , 	negative	negative
does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds . 	positive	positive
told well by a master 	positive	positive
from a ploddingly melodramatic structure 	negative	negative
a show forged in still-raw emotions 	positive	positive
to seem as long as the two year affair which is its subject 	negative	negative
of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original 	negative	negative
captivates 	positive	positive
much of the cast is stiff or just plain bad . 	negative	negative
drag along the dead ( water ) weight of the other 	negative	negative
you could fit all of pootie tang in between its punchlines 	negative	negative
the filling 	positive	positive
it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but 	positive	positive
angelina jolie 's surprising flair for self-deprecating comedy 	positive	positive
queasy-stomached 	negative	negative
the ` ick ' in ` classic 	negative	negative
very choppy and monosyllabic 	negative	negative
psychedelic devices , special effects and backgrounds , 	positive	positive
fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur 	negative	negative
a film really has to be exceptional to justify a three hour running time , and 	positive	positive
welcome with audiences 	positive	positive
everything in maid in manhattan is exceedingly pleasant , designed not to offend . 	positive	positive
the gorgeous locales and exceptional lead performances 	positive	positive
startling story 	positive	positive
do with imagination 	positive	positive
rage 	negative	negative
dumplings 	positive	positive
more interesting -- and , dare i say , 	positive	positive
exactly assured in its execution 	positive	positive
'll keep watching the skies for his next project 	positive	positive
as tiresome as 9 	negative	negative
plot , characters , 	positive	positive
does not work 	negative	negative
that prevents them from firing on all cylinders 	negative	negative
seem self-consciously poetic and 	positive	positive
back to a time when movies had more to do with imagination than market research . 	positive	positive
has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy 	positive	positive
authentic account of a historical event that 's far too tragic to merit such superficial treatment 	negative	negative
satisfying 	positive	positive
revolutionary spirit 	positive	positive
a crowd-pleaser , but then , 	positive	positive
anemic , 	negative	negative
a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place 	positive	positive
spielberg 's first real masterpiece 	positive	positive
the plot ( other than its one good idea ) and the movie 's inescapable air of sleaziness 	negative	negative
the obstacles of a predictable outcome and a screenplay that glosses over rafael 's evolution 	negative	negative
is a confusing melange of tones and styles , one moment a romantic trifle and the next a turgid drama . 	negative	negative
while peppering the pages with memorable zingers 	positive	positive
falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries . 	negative	negative
, truths emerge . 	positive	positive
those words 	positive	positive
the film has a terrific look and salma hayek has a feel for the character at all stages of her life . 	positive	positive
by cliches , painful improbability and murky points 	negative	negative
generous , inspiring film 	positive	positive
tossed off 	negative	negative
this shocking testament to anti-semitism and neo-fascism 	negative	negative
of more appealing holiday-season product 	positive	positive
sloppy , made-for-movie comedy special 	negative	negative
a thoughtful and unflinching examination of an alternative lifestyle 	positive	positive
like a giant commercial for universal studios , where much of the action takes place 	negative	negative
dialogue and sharp 	positive	positive
the stunt work is top-notch ; the dialogue and drama often food-spittingly funny . 	positive	positive
graduated 	positive	positive
nohe 's documentary about the event is sympathetic without being gullible 	positive	positive
enriched 	positive	positive
to take an entirely stale concept and push it through the audience 's meat grinder one more time 	negative	negative
a pretty decent kid-pleasing 	positive	positive
unrecoverable 	negative	negative
that manages to invest real humor 	positive	positive
articulate , grown-up voice 	positive	positive
commercialism all in the same movie 	negative	negative
nifty 	positive	positive
's an exhilarating place to visit , this laboratory of laughter . 	positive	positive
a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions . 	positive	positive
some delightful work on indie projects 	positive	positive
making up for any flaws that come later 	positive	positive
terrific effort 	positive	positive
the courage to go over the top and movies that do n't care about being stupid 	positive	positive
xmas 	positive	positive
, it does give exposure to some talented performers 	positive	positive
a cheap scam 	negative	negative
once one experiences mr. haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else . 	negative	negative
does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift . 	positive	positive
falling into the hollywood trap and making a vanity project with nothing new to offer 	negative	negative
paints a grand picture of an era and 	positive	positive
of a balanced film that explains the zeitgeist that is the x games 	positive	positive
the film runs on a little longer than it needs to -- muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- 	negative	negative
it is a likable story , told with competence . 	positive	positive
originality is sorely lacking . 	negative	negative
especially because half past dead is like the rock on a wal-mart budget 	negative	negative
the emotional overload of female angst irreparably drags the film down . 	negative	negative
balanced by a rich visual clarity and deeply 	positive	positive
along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes 	positive	positive
no-nonsense authority 	positive	positive
idiocy 	negative	negative
moviegoers for real characters and compelling plots 	positive	positive
, visually graceful 	positive	positive
sappiness 	negative	negative
the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came 	positive	positive
loose 	negative	negative
looking and stylish 	positive	positive
the three leads produce adequate performances , but 	positive	positive
drug abuse , infidelity and death are n't usually comedy fare , but turpin 's film allows us to chuckle through the angst 	positive	positive
a beautiful film to watch 	positive	positive
writer-director david jacobson 	positive	positive
's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand 	negative	negative
neither romantic nor comedic 	negative	negative
the movie dawdle 	negative	negative
with fewer deliberate laughs , more inadvertent ones and stunningly trite songs 	negative	negative
good-natured and sometimes quite funny 	positive	positive
a complete waste of time 	negative	negative
largely devoid 	negative	negative
to cheesier to cheesiest 	negative	negative
piece , a model of menacing atmosphere 	positive	positive
of last summer 's bloated effects 	negative	negative
a low-budget series on a uhf channel 	negative	negative
satisfyingly scarifying , fresh and old-fashioned at the same time . 	positive	positive
proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast 	negative	negative
use a few good laughs 	positive	positive
someone made off with your wallet 	negative	negative
's a smartly directed , grown-up film of ideas . 	positive	positive
dodge this one 	negative	negative
this low-rent -- and even lower-wit -- rip-off of the farrelly brothers ' oeuvre 	negative	negative
played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman ca n't save it . 	negative	negative
this does not really make the case the kissinger should be tried as a war criminal . 	negative	negative
benefit enormously from the cockettes ' camera craziness 	positive	positive
in its sparkling beauty 	positive	positive
`` brown sugar '' admirably aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film . 	positive	positive
features one of the most affecting depictions of a love affair ever committed to film . 	positive	positive
( gulpilil ) is a commanding screen presence 	positive	positive
lively 	positive	positive
it seem fresh again 	positive	positive
tends to pile too many `` serious issues '' on its plate at times , yet 	negative	negative
good guys and 	positive	positive
the movie is silly beyond comprehension , and 	negative	negative
the dialogue and drama often food-spittingly funny 	positive	positive
clumsily staged violence overshadows everything , including most of the actors . 	negative	negative
cannibal lust above the ordinary 	positive	positive
spinning a web of dazzling entertainment may be overstating it 	positive	positive
will remind them that hong kong action cinema is still alive and kicking . 	positive	positive
feels secondhand , familiar -- and not in a good way 	negative	negative
spectacularly 	positive	positive
construct a story with even a trace of dramatic interest 	negative	negative
conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt 	positive	positive
to break the tedium 	negative	negative
the ridiculousness 	negative	negative
well-done film 	positive	positive
's not that funny 	negative	negative
inhuman cinematic punishment 	negative	negative
of its epic scope 	positive	positive
pretends to be passionate and truthful but is really frustratingly timid and soggy 	negative	negative
of heartfelt performances 	positive	positive
fans of gosford park have come to assume is just another day of brit cinema 	negative	negative
poetic road movie 	positive	positive
play like a milquetoast movie of the week blown up for the big screen 	negative	negative
there 's nothing like love to give a movie a b-12 shot , and cq shimmers with it . 	positive	positive
you 've figured out late marriage 	positive	positive
one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace . 	positive	positive
teddy bears ' picnic ranks 	positive	positive
dismissed heroes would be a film that is n't this painfully forced , false and fabricated 	negative	negative
right place 	positive	positive
oddly sweet 	positive	positive
a recycled and dumbed-down version of love story 	negative	negative
pacino and williams seem to keep upping the ante on each other , just as their characters do in the film . 	positive	positive
so second-rate 	negative	negative
an old-fashioned but emotionally stirring adventure tale of the kind they 	positive	positive
a frustrating patchwork : an uneasy marriage of louis begley 's source novel ( about schmidt ) and an old payne screenplay 	negative	negative
engaging characters 	positive	positive
, twisted , brilliant and macabre 	positive	positive
a heavy-handed indictment of parental failings and the indifference of spanish social workers and legal system towards child abuse 	negative	negative
tootsie knockoff . 	negative	negative
need movies like tim mccann 's revolution no. 9 . 	positive	positive
britney spears ' phoniness is nothing compared to the movie 's contrived , lame screenplay and listless direction . 	negative	negative
unfortunately , that 's precisely what arthur dong 's family fundamentals does . 	negative	negative
than what 's been cobbled together onscreen 	negative	negative
deftly captures the wise-beyond-her-years teen 	positive	positive
a wild comedy that could only spring from the demented mind 	positive	positive
expresses our most basic emotions 	positive	positive
for the most part , the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness . 	negative	negative
huge gap 	negative	negative
a very moving and revelatory footnote 	positive	positive
a non-mystery mystery . 	negative	negative
fascinating -- and timely -- content 	positive	positive
loneliness and the chilly anonymity of the environments where so many of us spend so much of our time 	negative	negative
a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist 	positive	positive
gut-clutching piece 	positive	positive
becomes just another voyeuristic spectacle , to be consumed and forgotten . 	negative	negative
subjugate truth 	positive	positive
the shallow sensationalism characteristic of soap opera 	negative	negative
with the lazy material and the finished product 's unshapely look 	negative	negative
to remember 	positive	positive
is a real filmmaker 	positive	positive
a great film noir 	positive	positive
this film , which is often preachy and poorly acted 	negative	negative
disappointing in comparison to other recent war movies 	negative	negative
is that it does n't make any sense 	negative	negative
a talky bore 	negative	negative
bristles with passion and energy 	positive	positive
a successful career 	positive	positive
is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism . 	positive	positive
as brave and challenging 	positive	positive
above pat inspirational status 	positive	positive
beautifully filmed 	positive	positive
moving , and adventurous 	positive	positive
somewhat cumbersome 	negative	negative
place and personal identity 	positive	positive
with plenty of entertainment value 	positive	positive
a dazzling dream of a documentary 	positive	positive
* corpus and its amiable jerking 	negative	negative
serious subject matter and dark , funny humor 	positive	positive
is unusual , food-for-thought cinema that 's as entertaining as it is instructive 	positive	positive
bland murder-on-campus 	negative	negative
tear your eyes away 	negative	negative
the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes 	negative	negative
dickens ' words 	positive	positive
satisfying destination 	positive	positive
arguably the best script that besson has written in years . 	positive	positive
its rough-around-the-edges , low-budget constraints 	negative	negative
many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and 	negative	negative
fun one 	positive	positive
to no particularly memorable effect 	negative	negative
ignoring what the filmmakers clearly believe 	negative	negative
highly predictable narrative 	negative	negative
translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be ya-ya 	positive	positive
, you realize there 's no place for this story to go but down 	negative	negative
none-too-original 	negative	negative
romp that has something to say . 	positive	positive
zone '' episode 	positive	positive
a stultifyingly obvious one 	negative	negative
, you 'll like promises . 	positive	positive
it 's kind of sad that so many people put so much time and energy into this turkey . 	negative	negative
turntablism 	positive	positive
is well worth seeing 	positive	positive
the strain is all too evident 	negative	negative
unlike 	negative	negative
upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming 	negative	negative
bother if you 're going to subjugate truth to the tear-jerking demands of soap opera 	negative	negative
documented the cruelty and suffering he has found with an devastating , eloquent clarity 	positive	positive
with which it tries to pump life into overworked elements from eastwood 's dirty harry period 	negative	negative
painful and 	negative	negative
dismiss -- moody 	negative	negative
sorry use of aaliyah in her one and only starring role 	negative	negative
the fetid underbelly of fame 	negative	negative
, i would go back and choose to skip it . 	negative	negative
worked 	positive	positive
expected 	negative	negative
anybody who enjoys quirky , fun , popcorn movies with a touch of silliness and a little 	positive	positive
of war-torn croatia 	negative	negative
terrific as nadia , a russian mail-order bride who comes to america speaking not a word of english 	positive	positive
director randall wallace 's flag-waving war flick with a core of decency 	positive	positive
humor , warmth , and 	positive	positive
that few will bother thinking it all through 	negative	negative
want my money back . 	negative	negative
dong never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting 	negative	negative
are of the highest and the performances attractive without being memorable . 	positive	positive
that holds interest in the midst of a mushy , existential exploration of why men leave their families 	positive	positive
is off . 	negative	negative
eyre is on his way to becoming the american indian spike lee . 	positive	positive
incessant 	negative	negative
when all is said and done , she loves them to pieces -- and so , i trust , will you . 	positive	positive
talk to her is not the perfect movie many have made it out to be 	negative	negative
witless and utterly pointless . 	negative	negative
aims to be funny , uplifting and moving , sometimes 	positive	positive
loose , poorly structured 	negative	negative
of good-natured fun found in films like tremors 	positive	positive
examine , the interior lives of the characters in his film , much less 	negative	negative
is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party 	positive	positive
just does n't add up . 	negative	negative
a powerful and telling story 	positive	positive
that freshly considers arguments the bard 's immortal plays 	positive	positive
pomposity 	negative	negative
the cast delivers without sham the raw-nerved story . 	positive	positive
a winning family story 	positive	positive
never catches fire 	negative	negative
much of it comes from the brave , uninhibited performances by its lead actors . 	positive	positive
missing from the girls ' big-screen blowout 	positive	positive
from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb 	positive	positive
the paradiso 's rusted-out ruin and ultimate collapse during the film 's final ( restored ) third ... 	negative	negative
much fun 	positive	positive
in recompense : a few early laughs scattered around a plot 	positive	positive
of a poetic 	positive	positive
the most entertaining moments here are unintentional . 	positive	positive
great director 	positive	positive
and , thanks to the presence of ` the king , ' it also rocks . 	positive	positive
his martial artistry 	positive	positive
a little-remembered world 	positive	positive
an authentic feel 	positive	positive
`` sweet home alabama '' is what it is -- a nice , harmless date film ... 	positive	positive
all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability 	negative	negative
not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions 	positive	positive
the smarter offerings 	positive	positive
as the long-faced sad sack 	negative	negative
all the more poignant by the incessant use of cell phones 	negative	negative
playful but highly studied and dependent for its success on a patient viewer 	positive	positive
director m. night shyamalan can weave an eerie spell 	positive	positive
negativity 	negative	negative
does a great combination act as narrator , jewish grandmother and subject -- 	positive	positive
brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music 	positive	positive
's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present 	negative	negative
steven spielberg has dreamed up such blatant and sickening product placement in a movie . 	negative	negative
and it 's not that funny -- which is just generally insulting . 	negative	negative
jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , 	negative	negative
a late-inning twist that just does n't make sense 	negative	negative
is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous 	negative	negative
to shine through the gloomy film noir veil 	negative	negative
of the year 's most enjoyable releases 	positive	positive
a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation . 	positive	positive
a delightful , if minor , pastry 	positive	positive
the latest gimmick from this unimaginative comedian 	negative	negative
the film lacks momentum and its position remains mostly undeterminable 	negative	negative
vulgar , sexist , racist humor 	negative	negative
offbeat humor 	positive	positive
finds warmth in the coldest environment and makes each crumb of emotional comfort 	positive	positive
viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies 	positive	positive
in the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . 	positive	positive
enough to give you brain strain 	negative	negative
this bad 	negative	negative
in sham actor workshops and an affected malaise 	negative	negative
ca n't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops 	negative	negative
downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness 	positive	positive
a couple hours of summertime 	positive	positive
to confident filmmaking and a pair of fascinating performances 	positive	positive
pleasingly 	positive	positive
a complete mess 	negative	negative
so perfect 	positive	positive
's impossible to care 	negative	negative
cutting hollywood satire 	positive	positive
directors abandon their scripts and go where the moment takes them 	positive	positive
this wretchedly unfunny wannabe comedy is inane and awful - 	negative	negative
terms of the low-grade cheese standards on which it operates 	negative	negative
sometimes improbable story 	negative	negative
sitting open too long 	negative	negative
the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea 	negative	negative
a peculiar malaise 	negative	negative
a step further , richer and 	positive	positive
freshman 	positive	positive
